"name_mapgovpoint";"addr_mapgovpoint";"gps_lat";"gps_long"
"Kantor Desa Cibeureum";"Cibeureum";"-6.691743";"106.941418"
"Kantor Desa Cilember";"Cilember";"-6.654752";"106.919499"
"Kantor Desa Tugu Utara";"Tugu Utara";"-6.683862";"106.952406"
"Kantor Desa Kopo";"Kopo";"-6.681608";"106.922401"
"Kantor Desa Leuwi Malang";"Leuwi Malang";"-6.667708";"106.926897"
"Kantor Desa Tugu Selatan";"Tugu Selatan";"-6.695042";"106.964535"
"Kantor Desa Citeko";"Citeko";"-6.692027";"106.928101"
"Kantor Desa Suka Maju";"Suka Maju";" -6.678120";"106.889336"
"Kantor Desa Kuta";"Kuta";"-6.680908";"106.914526"
"Desa Gadog";"Gadog";"-6.653117";"106.885047"
"Kantor Desa Sukakarya";"Sukakarya";"-6.674138";"106.897093"
"Desa Megamendung";"Megamendung";"-6.646239";"106.905659"
"Kantor Desa Cipayung";"Cipayung";"-6.651312";"106.891034"
"Desa Sukamanah";"Sukamanah";"-6.660419";"106.872792"
"Kantor Desa Suka Galih";"Suka Galih";"-6.686804";"106.904005"
"Kantor Desa Cipayung Girang";"Cipayung Girang";" -6.650167";"106.906546"
"Kantor Desa Sukamahi";"Sukamahi";" -6.668999";"106.875979"
"Kantor Desa Sukaresmi";"Sukaresmi";"-6.692049";"106.901817"
"Kantor Desa Pasir Angin";"Pasir Angin";" -6.648517";"106.874187"
"Desa Pasir Muncang";"Pasir Muncang";"-6.723787";"106.832249"
"Kantor Desa Cimande Hilir";"Cimande Hilir";" -6.698898";"106.826711"
"Desa Ciderum";"Ciderum";"-6.698158";"106.849514"
"Desa Caringin";"Caringin";"-6.711073";"106.826747"
"Kantor Desa Ciherang Pondok";"Ciherang Pondok";" -6.693842";"106.835706"
"Desa Cinagara";"Cinagara";"-6.748344";"106.857105"
"Kantor Desa Cimande";"Cimande";" -6.711960";"106.842278"
"Kantor Desa Pancawati";"Pancawati";" -6.716192";"106.865971"
"Kantor Desa Muara Jaya";"Muara Jaya";" -6.717871";"106.816024"
"Desa Pasir Buncir";"Pasir Buncir";"-6.756329";"106.850801"
"Kantor Desa Lemah Duhur";"Lemah Duhur";" -6.714733";"106.839376"
"Kantor Desa Tangkil";"Tangkil";" -6.736998";"106.845360"
"Kantor Desa Cijeruk";"Cijeruk";"-6.707314";"106.796408"
"Kantor Desa Cipelang";"Cipelang";"-6.693771";"106.794499"
"Desa Warung Menteng";"Warung Menteng";"-6.704127";"106.808025"
"Desa Tajur Halang";"Tajur Halang";"-6.681767";"106.772645"
"Desa Cipicung";"Cipicung";"-6.674025";"106.804082"
"Kantor Desa Cibalung";"Cibalung";"-6.686807";"106.809042"
"Kantor Desa Sukaharja";"Sukaharja";" -6.657520";"106.771052"
"Kantor Desa Palasari";"Palasari";"-6.655198";"106.799613"
"Kantor Desa Tanjung Sari";"Tanjung Sari";"-6.667122";"106.794669"
"Desa Padasuka";"Padasuka";"-6.593123";"106.758374"
"Desa Mekarjaya";"Mekarjaya";"-6.612048";"106.777643"
"Desa Sukaharja";"Sukaharja";"-6.613288";"106.743546"
"Kantor Desa Parakan";"Parakan";" -6.619922";"106.773927"
"Kantor Desa Ciomas";"Ciomas";" -6.608033";"106.766013"
"Kantor Desa Pagelaran";"Pagelaran";"-6.595143";"106.759824"
"Kantor Desa Sukamakmur";"Sukamakmur";"-6.613440";"106.750820"
"Kantor Desa Ciapus";"Ciapus";"-6.601518";"106.750963"
"Desa Kota Batu";"Kota Batu";"-6.629303";"106.782118"
"Kantor Desa Laladon";"Laladon";" -6.584354";"106.758620"
"Kantor Desa Ciomas Rahayu";"Ciomas Rahayu";"  -6.602705";"106.767323"
"Kantor Desa Sukadamai";"Sukadamai";"-6.613780";"106.733351"
"Kantor Desa Ciherang";"Ciherang";"-6.581195";"106.746256"
"Kantor Desa Sinarsari";"Sinarsari";" -6.583594";"106.733507"
"Kantor Desa Sukawening";"Sukawening";" -6.598176";"106.737391"
"Kantor Desa Petir";"Petir";" -6.608653";"106.728098"
"Kantor Desa Purwasari";"Purwasari";"-6.616407";"106.715370"
"Kantor Desa Cikarawang";"Cikarawang";"-6.544152";"106.737115"
"Kantor Desa Babakan";"Babakan";" -6.562095";"106.731987"
"Kantor Desa Dramaga";"Dramaga";"-6.575923";"106.740249"
"Kantor Desa Neglasari";"Neglasari";"-6.583720";"106.727240"
"Kantor Desa Sukamantri";"Sukamantri";"-6.647456";"106.770953"
"Desa Sirnagalih";"Sirnagalih";"-6.633969";"106.771819"
"Desa Pasir Eurih";"Pasir Eurih";"-6.637602";"106.761594"
"Kantor Desa Tamansari";"Tamansari";" -6.649667";"106.754898"
"Kantor Desa Sukaluyu";"Sukaluyu";" -6.634887";"106.743839"
"Kantor Desa Sukaresmi";"Sukaresmi";" -6.637653";"106.751018"
"Desa Sukajaya";"Sukajaya";"-6.629619";"106.740334"
"Desa Sukajadi";"Sukajadi";"-6.648792";"106.727675"
"Kantor Desa Klapanunggal";"Klapanunggal";"-6.453599";"106.956209"
"Kantor Desa Bojong";"Bojong";"-6.448056";"106.990556"
"Kantor Desa Nambo";"Nambo";"-6.468887";"106.924208"
"Kantor Desa Lulut";"Lulut";"-6.489444";"106.916305"
"Kantor Desa Cikahuripan";"Cikahuripan";"-6.449515";"106.974251"
"Kantor Desa Kembang Kuning";"Kembang Kuning";"-6.442909";"106.943652"
"Kantor Desa Bantarjati";"Bantarjati";"-6.464607";"106.912969"
"Kantor Desa Leuwikaret";"Leuwikaret";"-6.519901";"106.923272"
"Kantor Desa Ligarmukti";"Ligarmukti";"-6.45294";"106.976908"
"Kantor Desa Putat Nutug";"Putat Nutug";" -6.468018";"106.666370"
"Kantor Desa Ciseeng";"Ciseeng";" -6.443152";"106.692358"
"Kantor Desa Parigi Mekar";"Parigi Mekar";" -6.449109";"106.698775"
"Kantor Desa Cibentang";"Cibentang";" -6.439252";"106.677250"
"Desa Cibeuteung Udik";"Cibeuteung Udik";"-6.485057";"106.690214"
"Desa Karihkil";"Karihkil";"-6.491516";"106.679138"
"Kantor Desa Babakan";"Babakan";" -6.465702";"106.696061"
"Desa Cihowe";"Cihowe";"-6.433055";"106.6844"
"Kantor Desa Cibeuteung Muara";"Cibeuteung Muara";" -6.452934";"106.664991"
"Kantor Desa Kuripan";"Kuripan";" -6.420219";"106.657064"
"Kantor Desa Bantar Jaya";"Bantar Jaya";"-6.538950";"106.737665"
"Kantor Desa Bantar Sari";"Bantar Sari";" -6.526490";"106.741369"
"Kantor Desa Pasirgaok";"Pasirgaok";"-6.540266";"106.720820"
"Kantor Desa Rancabungur";"Rancabungur";"-6.537256";"106.705371"
"Desa Mekarsari";"Mekarsari";"-6.5121";"106.689444"
"Kantor Desa Candali";"Candali";"-6.504572";"106.703108"
"Kantor Desa Cimulang";"Cimulang";" -6.525307";"106.713733"
"Desa Cisarua";"Cisarua";"-6.678191";"106.463257"
"Kantor Desa Kiarasari";"Kiarasari";" -6.655270";"106.496035"
"Kantor Desa Sukajaya";"Sukajaya";" -6.592572";"106.513819"
"Kantor Desa Cipayung";"Cipayung";" -6.582410";"106.506525"
"Kantor Desa Cileuksa";"Cileuksa";" -6.594178";"106.448065"
"Kantor Desa Kiarapandak";"Kiarapandak";" -6.623735";"106.495444"
"Desa Harkatjaya";"Harkatjaya";"-6.604947";"106.505651"
"Kantor Desa Sukamulih";"Sukamulih";" -6.583881";"106.485293"
"Kantor Desa Pasir Madang";"Pasir Madang";" -6.595267";"106.479411"
"Desa Urug";"Urug";"-6.626368";"106.502647"
"Kantor Desa Jayaraharja";"Jayaraharja";" -6.592003";"106.498764"
"Kantor Desa Tanjung Sari";"Tanjung Sari";" -6.608843";"107.147539"
"Kantor Desa Selawangi";"Selawangi";" -6.582253";"107.088472"
"Kantor Desa Tanjungrasa";"Tanjungrasa";" -6.573256";"107.140983"
"Desa Antajaya";"Antajaya";"-6.585921";"107.177717"
"Desa Pasir Tanjung";"Pasir Tanjung";"-6.600232";"107.143506"
"Kantor Desa Cibadak";"Cibadak";" -6.614558";"107.131323"
"Desa Sukarasa";"Sukarasa";"-6.609321";"107.083065"
"Kantor Desa Sirnasari";"Sirnasari";" -6.621019";"107.153431"
"Kantor Desa Buana Jaya";"Buana Jaya";" -6.613543";"107.168104"
"Kantor Desa Sirnarasa";"Sirnarasa";" -6.619780";"107.158061"
"Kantor Desa Tajurhalang";"Tajurhalang";"-6.481718";"106.757199"
"Kantor Desa Citayam";"Citayam";"-6.447887";"106.758711"
"Kantor Desa Sasakpanjang";"Sasakpanjang";"-6.452373";"106.759719"
"Kantor Desa Nanggerang";"Nanggerang";"-6.462042";"106.778676"
"Kantor Desa Sukmajaya";"Sukmajaya";"-6.482208";"106.779017"
"Kantor Desa Tonjong";"Tonjong";"-6.491605";"106.763936"
"Kantor Desa Kalisuren";"Kalisuren";"-6.460072";"106.739763"
"Kantor Desa Cigombong";"Cigombong";"-6.743934";"106.803442"
"Kantor Desa Watesjaya";"Watesjaya";" -6.747584";"106.804006"
"Kantor Desa Ciburuy";"Ciburuy";"-6.735912";"106.819904"
"Kantor Desa Srogol";"Srogol";" -6.747975";"106.820008"
"Kantor Desa Cisalada";"Cisalada";"-6.733873";"106.789424"
"Kantor Desa Tugu Jaya";"Tugu Jaya";" -6.745766";"106.780844"
"Kantor Desa Pasir Jaya";"Pasir Jaya";"-6.728883";"106.788218"
"Kantor Desa Ciburayut";"Ciburayut";"-6.720895";"106.795633"
"Kantor Desa Ciadeg";"Ciadeg";"-6.711757";"106.813617"
"Kantor Desa Leuwisadeng";"Leuwisadeng";" -6.573890";"106.603668"
"Desa Babakan Sadeng";"Babakan Sadeng";"-6.574986";"106.579564"
"Desa Sadeng Kolot";"Sadeng Kolot";"-6.589149";"106.588475"
"Kantor Desa Wangunjaya";"Wangunjaya";" -6.588335";"106.579571"
"Desa Kalong I";"Kalong I";"-6.558525";"106.559684"
"Desa Kalong II";"Kalong II";"-6.549288";"106.568133"
"Desa Sadeng";"Sadeng";"-6.553188";"106.583374"
"Kantor Desa Sibanteng";"Sibanteng";" -6.565726";"106.602611"
"Kantor Desa Tapos I";"Tapos I";" -6.661394";"106.700057"
"Kantor Desa Tapos II";"Tapos II";" -6.636632";"106.693242"
"Desa Cibitung Tengah";"Cibitung Tengah";"-6.616671";"106.692765"
"Desa Situ Daun";"Situ Daun";"-6.621033";"106.707328"
"Desa Cinangneng";"Cinangneng";"-6.602748";"106.705071"
"Kantor Desa Gunung Malang";"Gunung Malang";" -6.654036";"106.708121"
"Kantor Desa Gunung Mulya";"Gunung Mulya";" -6.639445";"106.700398"
